Стоимость тарифа,Дата создания,Глубина бронирования,Дата заезда
25,2015-12-30,4,2016-01-02
25,2015-12-30,4,2016-01-03
25,2015-12-30,6,2016-01-04
5,2015-12-08,13,2015-12-19
5,2015-12-08,13,2015-12-20
5,2015-12-08,16,2015-12-21
5,2015-12-08,17,2015-12-22
5,2015-12-08,19,2015-12-23
5,2015-12-08,18,2015-12-24
5,2015-12-08,21,2015-12-25
6,2015-03-21,6,2015-03-23
6,2015-03-21,8,2015-03-24
6,2015-03-21,6,2015-03-25
6,2015-03-21,7,2015-03-26
3,2015-06-03,4,2015-06-03
3,2015-06-03,4,2015-06-04
4,2015-07-31,6,2015-08-01
4,2015-08-27,18,2015-09-10
4,2015-08-27,15,2015-09-11
5,2015-08-06,4,2015-08-06
5,2015-10-01,5,2015-10-03
5,2015-10-01,6,2015-10-04
4,2015-09-22,7,2015-09-26
4,2015-09-22,5,2015-09-27
4,2015-09-22,11,2015-09-28
4,2015-09-22,11,2015-09-29
4,2015-09-22,12,2015-09-30
4,2015-09-22,13,2015-10-01
4,2015-09-22,10,2015-10-02
5,2015-10-05,20,2015-10-23
5,2015-10-05,24,2015-10-24
12,2015-01-21,15,2015-02-04
12,2015-01-21,18,2015-02-05
12,2015-01-21,18,2015-02-06
18,2015-01-08,4,2015-01-10
18,2015-01-08,3,2015-01-11
18,2015-01-08,4,2015-01-12
18,2015-01-08,7,2015-01-13
18,2015-01-08,9,2015-01-14
18,2014-12-31,2,2015-01-02
18,2014-12-31,5,2015-01-03
18,2014-12-31,8,2015-01-04
18,2014-12-31,7,2015-01-05
18,2014-12-31,11,2015-01-06
18,2014-12-31,8,2015-01-07
16,2015-01-04,4,2015-01-08
16,2015-01-04,10,2015-01-09
21,2015-02-20,6,2015-02-21
21,2015-02-20,6,2015-02-22
20,2015-02-18,0,2015-02-18
20,2015-02-18,2,2015-02-19
20,2015-02-18,2,2015-02-20
18,2015-02-09,26,2015-03-04
18,2015-02-09,26,2015-03-05
18,2015-02-09,29,2015-03-06
18,2015-02-09,31,2015-03-07
10,2015-03-16,5,2015-03-17
10,2015-03-16,7,2015-03-18
10,2015-03-16,8,2015-03-19
5,2015-03-27,9,2015-04-02
5,2015-03-27,11,2015-04-03
5,2015-03-27,8,2015-04-04
6,2015-05-02,2,2015-05-02
3,2015-06-12,3,2015-06-12
3,2015-06-12,5,2015-06-13
5,2015-07-10,29,2015-08-04
5,2015-07-10,30,2015-08-05
4,2015-09-21,11,2015-09-28
4,2015-09-21,10,2015-09-29
4,2015-09-21,12,2015-09-30
4,2015-09-21,11,2015-10-01
5,2015-10-05,18,2015-10-23
5,2015-10-05,22,2015-10-24
4,2015-10-15,6,2015-10-16
4,2015-10-15,5,2015-10-17
4,2015-10-15,4,2015-10-18
2,2015-12-10,7,2015-12-12
16,2015-12-02,25,2015-12-25
16,2015-12-02,29,2015-12-26
16,2015-12-02,25,2015-12-27
3,2015-11-20,8,2015-11-26
3,2015-11-20,10,2015-11-27
3,2015-11-20,10,2015-11-28
3,2015-11-20,14,2015-11-29
3,2015-11-20,12,2015-11-30
8,2015-12-16,6,2015-12-19
9,2015-03-02,19,2015-03-21
9,2015-03-02,20,2015-03-22
9,2015-03-02,21,2015-03-23
9,2015-03-02,25,2015-03-24
22,2015-02-20,4,2015-02-21
22,2015-02-20,2,2015-02-22
20,2015-02-18,0,2015-02-18
20,2015-02-18,3,2015-02-19
20,2015-02-18,7,2015-02-20
10,2015-03-02,26,2015-03-25
10,2015-03-02,27,2015-03-26
10,2015-03-02,26,2015-03-27
10,2015-03-02,31,2015-03-28
5,2015-04-23,3,2015-04-23
5,2015-04-15,18,2015-05-01
5,2015-04-15,17,2015-05-02
3,2015-06-12,1,2015-06-12
3,2015-06-12,1,2015-06-13
5,2015-08-03,0,2015-08-03
5,2015-08-03,2,2015-08-04
5,2015-08-03,7,2015-08-05
4,2015-08-28,12,2015-09-09
4,2015-08-28,18,2015-09-10
4,2015-09-25,7,2015-09-28
4,2015-09-25,5,2015-09-29
4,2015-09-25,8,2015-09-30
4,2015-09-25,9,2015-10-01
4,2015-10-26,4,2015-10-28
4,2015-10-26,4,2015-10-29
4,2015-10-26,7,2015-10-30
16,2014-12-31,5,2015-01-02
16,2014-12-31,5,2015-01-03
16,2014-12-31,5,2015-01-04
16,2014-12-31,5,2015-01-05
16,2014-12-31,8,2015-01-06
16,2014-12-31,11,2015-01-07
10,2015-03-02,28,2015-03-25
10,2015-03-02,25,2015-03-26
10,2015-03-02,26,2015-03-27
10,2015-03-02,31,2015-03-28
8,2015-01-24,29,2015-02-22
8,2015-01-24,31,2015-02-23
11,2015-01-19,15,2015-01-29
11,2015-01-19,14,2015-01-30
11,2015-01-19,17,2015-01-31
11,2015-01-19,16,2015-02-01
12,2015-01-21,19,2015-02-04
12,2015-01-21,20,2015-02-05
12,2015-01-21,18,2015-02-06
18,2015-01-08,4,2015-01-08
18,2015-01-08,6,2015-01-09
18,2015-01-08,6,2015-01-10
18,2015-01-08,3,2015-01-11
18,2015-01-08,8,2015-01-12
4,2015-07-04,21,2015-07-23
4,2015-07-04,21,2015-07-24
3,2015-06-10,4,2015-06-12
2,2015-06-12,3,2015-06-12
2,2015-06-12,6,2015-06-13
2,2015-06-12,6,2015-06-14
3,2015-05-08,25,2015-05-28
3,2015-05-08,23,2015-05-29
3,2015-05-08,23,2015-05-30
3,2015-05-08,25,2015-05-31
3,2015-05-08,26,2015-06-01
3,2015-05-08,30,2015-06-02
3,2015-05-08,27,2015-06-03
3,2015-05-08,31,2015-06-04
3,2015-05-08,29,2015-06-05
3,2015-05-08,29,2015-06-06
5,2015-03-16,4,2015-03-20
5,2015-03-16,9,2015-03-21
5,2015-03-16,11,2015-03-22
5,2015-03-16,11,2015-03-23
5,2015-03-16,11,2015-03-24
5,2015-08-14,4,2015-08-14
5,2015-08-14,6,2015-08-15
5,2015-08-14,3,2015-08-16
5,2015-08-14,6,2015-08-17
5,2015-10-05,4,2015-10-07
7,2015-11-25,29,2015-12-20
7,2015-11-25,30,2015-12-21
7,2015-11-25,28,2015-12-22
7,2015-11-25,29,2015-12-23
7,2015-11-25,34,2015-12-24
10,2015-12-02,18,2015-12-19
3,2015-10-23,13,2015-11-03
3,2015-10-23,12,2015-11-04
3,2015-10-23,17,2015-11-05
3,2015-10-23,16,2015-11-06
3,2015-10-23,20,2015-11-07
13,2014-12-18,23,2015-01-07
7,2015-02-17,1,2015-02-17
8,2015-02-04,1,2015-02-04
8,2015-02-04,2,2015-02-05
10,2015-01-21,13,2015-01-29
10,2015-01-21,9,2015-01-30
10,2015-01-21,11,2015-01-31
10,2015-01-21,14,2015-02-01
10,2015-01-21,12,2015-02-02
10,2015-01-21,17,2015-02-03
9,2015-01-12,10,2015-01-21
9,2015-01-12,12,2015-01-22
9,2015-01-12,14,2015-01-23
9,2015-01-12,14,2015-01-24
9,2015-01-12,16,2015-01-25
3,2015-06-05,6,2015-06-06
13,2015-03-26,6,2015-03-27
13,2015-03-26,2,2015-03-28
2,2015-11-24,2,2015-11-25
17,2015-12-21,8,2015-12-25
17,2015-12-21,6,2015-12-26
7,2015-12-22,1,2015-12-22
7,2015-12-22,3,2015-12-23
4,2015-10-05,20,2015-10-22
4,2015-10-05,18,2015-10-23
4,2015-10-05,19,2015-10-24
5,2015-10-11,25,2015-11-01
5,2015-10-11,23,2015-11-02
5,2015-10-11,23,2015-11-03
5,2015-10-11,26,2015-11-04
4,2015-11-07,7,2015-11-13
4,2015-11-07,10,2015-11-14
4,2015-09-04,24,2015-09-26
4,2015-09-04,23,2015-09-27
4,2015-09-04,29,2015-09-28
5,2015-04-14,8,2015-04-17
5,2015-04-14,5,2015-04-18
4,2015-05-19,22,2015-06-05
4,2015-05-19,21,2015-06-06
8,2015-01-02,3,2015-01-02
8,2015-01-02,6,2015-01-03
8,2015-01-02,2,2015-01-04
18,2015-01-05,4,2015-01-08
18,2015-01-05,4,2015-01-09
10,2015-01-21,10,2015-01-26
10,2015-01-21,10,2015-01-27
10,2015-01-21,7,2015-01-28
10,2015-01-21,13,2015-01-29
10,2015-01-21,14,2015-01-30
6,2015-02-02,17,2015-02-17
6,2015-02-02,18,2015-02-18
6,2015-02-02,20,2015-02-19
9,2015-02-17,17,2015-03-01
9,2015-02-17,14,2015-03-02
9,2015-02-17,16,2015-03-03
9,2015-02-17,18,2015-03-04
9,2015-02-17,19,2015-03-05
10,2015-02-25,30,2015-03-23
10,2015-02-25,32,2015-03-24
10,2015-02-25,29,2015-03-25
10,2015-02-25,33,2015-03-26
6,2015-03-27,5,2015-03-27
6,2015-03-27,1,2015-03-28
6,2015-03-27,6,2015-03-29
10,2015-02-25,18,2015-03-10
10,2015-02-25,17,2015-03-11
10,2015-02-25,18,2015-03-12
10,2015-02-25,18,2015-03-13
10,2015-02-25,20,2015-03-14
10,2015-03-01,5,2015-03-02
10,2015-03-01,7,2015-03-03
10,2015-03-01,6,2015-03-04
9,2015-03-01,4,2015-03-05
9,2015-03-01,7,2015-03-06
9,2015-03-01,9,2015-03-07
9,2015-03-01,11,2015-03-08
9,2015-03-01,9,2015-03-09
6,2015-03-27,10,2015-04-02
6,2015-03-27,9,2015-04-03
6,2015-03-27,12,2015-04-04
6,2015-03-27,9,2015-04-05
4,2015-08-24,2,2015-08-24
5,2015-09-04,23,2015-09-26
5,2015-09-04,24,2015-09-27
5,2015-09-04,26,2015-09-28
4,2015-04-28,12,2015-05-09
3,2015-05-26,7,2015-06-02
3,2015-06-02,6,2015-06-05
3,2015-06-02,9,2015-06-06
4,2015-06-03,13,2015-06-11
4,2015-06-03,12,2015-06-12
5,2015-07-24,11,2015-08-02
5,2015-07-24,12,2015-08-03
5,2015-07-24,15,2015-08-04
5,2015-07-24,14,2015-08-05
5,2015-07-24,14,2015-08-06
18,2014-12-29,3,2014-12-31
18,2014-12-29,5,2015-01-01
18,2014-12-29,7,2015-01-02
18,2014-12-29,8,2015-01-03
18,2014-12-29,10,2015-01-04
13,2015-01-03,3,2015-01-06
13,2015-01-03,7,2015-01-07
13,2015-01-03,5,2015-01-08
13,2015-01-03,10,2015-01-09
13,2015-01-03,8,2015-01-10
13,2015-01-03,11,2015-01-11
13,2015-01-03,14,2015-01-12
10,2015-01-21,6,2015-01-26
10,2015-01-21,8,2015-01-27
10,2015-01-21,12,2015-01-28
10,2015-01-21,11,2015-01-29
10,2015-01-21,9,2015-01-30
7,2015-02-08,3,2015-02-08
19,2015-02-19,1,2015-02-20
19,2015-02-19,5,2015-02-21
19,2015-02-19,7,2015-02-22
16,2015-12-01,27,2015-12-23
16,2015-12-01,28,2015-12-24
16,2015-12-01,25,2015-12-25
16,2015-12-01,27,2015-12-26
7,2015-12-20,7,2015-12-22
5,2015-10-30,11,2015-11-05
3,2015-11-05,3,2015-11-06
3,2015-11-05,2,2015-11-07
3,2015-11-05,4,2015-11-08
3,2015-11-05,5,2015-11-09
4,2015-11-09,4,2015-11-12
4,2015-11-09,5,2015-11-13
4,2015-11-09,10,2015-11-14
4,2015-11-09,9,2015-11-15
13,2015-01-03,7,2015-01-06
13,2015-01-03,5,2015-01-07
13,2015-01-03,6,2015-01-08
13,2015-01-03,7,2015-01-09
13,2015-01-03,8,2015-01-10
13,2015-01-03,11,2015-01-11
13,2015-01-03,12,2015-01-12
19,2015-01-04,1,2015-01-04
16,2015-01-05,5,2015-01-05
10,2015-01-21,8,2015-01-26
10,2015-01-21,7,2015-01-27
10,2015-01-21,10,2015-01-28
10,2015-01-21,8,2015-01-29
10,2015-01-21,12,2015-01-30
7,2015-01-24,17,2015-02-08
8,2015-02-03,16,2015-02-17
8,2015-02-03,15,2015-02-18
8,2015-02-03,18,2015-02-19
19,2015-02-20,0,2015-02-20
19,2015-02-20,4,2015-02-21
19,2015-02-20,3,2015-02-22
9,2015-03-07,4,2015-03-09
9,2015-03-07,6,2015-03-10
9,2015-03-07,8,2015-03-11
9,2015-03-07,7,2015-03-12
9,2015-03-07,10,2015-03-13
9,2015-03-07,9,2015-03-14
12,2015-03-16,7,2015-03-22
12,2015-03-16,9,2015-03-23
4,2015-05-01,4,2015-05-01
5,2015-05-08,5,2015-05-08
4,2015-05-27,8,2015-05-30
3,2015-06-02,4,2015-06-02
3,2015-06-02,4,2015-06-03
3,2015-06-02,6,2015-06-04
3,2015-06-02,8,2015-06-05
3,2015-06-02,4,2015-06-06
2,2015-07-05,30,2015-07-30
2,2015-07-05,28,2015-07-31
2,2015-07-05,31,2015-08-01
2,2015-07-05,28,2015-08-02
2,2015-07-05,31,2015-08-03
2,2015-07-05,35,2015-08-04
2,2015-07-05,33,2015-08-05
3,2015-07-17,0,2015-07-17
3,2015-07-17,1,2015-07-18
3,2015-07-17,4,2015-07-19
3,2015-07-17,7,2015-07-20
3,2015-07-17,8,2015-07-21
3,2015-07-17,6,2015-07-22
5,2015-08-06,4,2015-08-06
4,2015-10-01,25,2015-10-22
3,2015-11-25,8,2015-12-02
7,2015-12-08,17,2015-12-20
7,2015-12-08,15,2015-12-21
7,2015-12-08,16,2015-12-22
7,2015-12-08,15,2015-12-23
7,2015-12-08,18,2015-12-24
7,2015-12-08,20,2015-12-25
8,2015-01-18,1,2015-01-18
5,2015-08-01,3,2015-08-01
4,2015-07-30,2,2015-07-30
5,2015-05-08,2,2015-05-08
5,2015-05-26,4,2015-05-27
5,2015-05-26,2,2015-05-28
5,2015-05-26,6,2015-05-29
3,2015-05-22,13,2015-06-02
3,2015-05-22,12,2015-06-03
3,2015-05-22,13,2015-06-04
3,2015-05-22,14,2015-06-05
3,2015-05-22,20,2015-06-06
3,2015-06-08,5,2015-06-08
3,2015-06-08,5,2015-06-09
3,2015-06-08,5,2015-06-10
3,2015-06-08,4,2015-06-11
3,2015-06-08,4,2015-06-12
5,2015-04-06,16,2015-04-17
5,2015-04-06,16,2015-04-18
5,2015-05-01,2,2015-05-01
10,2015-01-21,19,2015-02-08
10,2015-01-21,19,2015-02-09
10,2015-01-21,24,2015-02-10
10,2015-01-21,24,2015-02-11
10,2015-01-21,5,2015-01-26
10,2015-01-21,7,2015-01-27
10,2015-01-21,8,2015-01-28
10,2015-01-21,9,2015-01-29
10,2015-01-21,14,2015-01-30
14,2015-02-12,6,2015-02-13
14,2015-02-12,3,2015-02-14
9,2015-02-21,14,2015-03-02
9,2015-02-21,12,2015-03-03
9,2015-02-21,14,2015-03-04
9,2015-02-21,13,2015-03-05
10,2015-03-08,6,2015-03-09
10,2015-03-08,3,2015-03-10
10,2015-03-08,7,2015-03-11
10,2015-03-08,7,2015-03-12
10,2015-03-08,7,2015-03-13
15,2015-12-10,15,2015-12-25
15,2015-12-10,20,2015-12-26
15,2015-12-10,22,2015-12-27
15,2015-12-10,21,2015-12-28
7,2015-12-19,3,2015-12-22
7,2015-12-19,6,2015-12-23
7,2015-12-19,6,2015-12-24
2,2015-10-29,1,2015-10-29
2,2015-10-29,3,2015-10-30
2,2015-11-20,8,2015-11-24
2,2015-11-20,6,2015-11-25
2,2015-11-20,10,2015-11-26
2,2015-11-20,9,2015-11-27
5,2015-10-08,8,2015-10-14
5,2015-10-08,12,2015-10-15
3,2015-07-28,3,2015-07-28
7,2015-12-07,16,2015-12-23
7,2015-12-07,18,2015-12-24
7,2015-12-07,23,2015-12-25
17,2015-12-20,11,2015-12-26
17,2015-12-20,11,2015-12-27
17,2015-12-20,9,2015-12-28
27,2015-12-26,8,2015-12-30
27,2015-12-26,5,2015-12-31
4,2015-10-30,15,2015-11-11
4,2015-10-30,14,2015-11-12
4,2015-10-30,1,2015-10-30
3,2015-11-05,5,2015-11-07
2,2015-11-24,6,2015-11-25
2,2015-11-24,3,2015-11-26
1,2015-11-19,17,2015-12-02
1,2015-11-19,28,2015-12-03
1,2015-11-19,17,2015-12-04
1,2015-11-19,16,2015-12-05
4,2015-09-29,0,2015-09-29
4,2015-09-29,6,2015-09-30
4,2015-09-29,3,2015-10-02
4,2015-09-29,9,2015-10-03
4,2015-09-29,6,2015-10-04
5,2015-10-12,12,2015-10-22
5,2015-09-04,24,2015-09-26
5,2015-09-04,28,2015-09-27
5,2015-09-04,25,2015-09-28
5,2015-07-06,5,2015-07-06
4,2015-07-30,1,2015-07-31
4,2015-07-30,6,2015-08-01
2,2015-05-05,22,2015-05-26
4,2015-05-27,5,2015-05-30
3,2015-05-20,14,2015-06-01
3,2015-05-20,15,2015-06-02
3,2015-06-10,5,2015-06-11
3,2015-06-10,2,2015-06-12
5,2015-06-20,0,2015-06-20
4,2015-06-19,9,2015-06-25
4,2015-06-19,12,2015-06-26
6,2015-06-15,2,2015-06-15
6,2015-06-15,4,2015-06-16
6,2015-06-15,3,2015-06-17
3,2015-06-12,4,2015-06-13
3,2015-06-12,5,2015-06-14
5,2015-03-19,15,2015-04-02
5,2015-03-19,20,2015-04-03
5,2015-03-19,16,2015-04-04
6,2015-03-21,5,2015-03-21
6,2015-03-21,6,2015-03-22
6,2015-03-21,3,2015-03-23
6,2015-03-21,6,2015-03-24
6,2015-03-21,8,2015-03-25
6,2015-03-21,9,2015-03-26
6,2015-03-21,8,2015-03-27
12,2015-03-15,0,2015-03-15
5,2015-03-27,3,2015-03-29
5,2015-03-27,5,2015-03-30
5,2015-03-27,4,2015-03-31
5,2015-03-27,9,2015-04-01
7,2015-03-25,31,2015-04-24
4,2015-04-08,7,2015-04-13
4,2015-04-08,11,2015-04-14
4,2015-04-08,7,2015-04-15
4,2015-04-08,8,2015-04-16
4,2015-04-08,13,2015-04-17
4,2015-04-08,15,2015-04-18
4,2015-04-30,13,2015-05-12
4,2015-04-30,14,2015-05-13
4,2015-04-30,18,2015-05-14
4,2015-04-30,17,2015-05-15
4,2015-04-30,21,2015-05-16
4,2015-04-30,8,2015-05-08
4,2015-04-30,14,2015-05-09
4,2015-04-30,13,2015-05-10
8,2015-02-13,20,2015-03-02
8,2015-02-13,22,2015-03-03
8,2015-02-13,24,2015-03-04
8,2015-02-13,23,2015-03-05
20,2015-02-27,4,2015-02-27
20,2015-02-27,4,2015-02-28
18,2014-12-30,4,2015-01-02
12,2014-12-22,29,2015-01-15
14,2015-01-05,6,2015-01-08
14,2015-01-05,9,2015-01-09
14,2015-01-05,8,2015-01-10
9,2015-01-22,5,2015-01-22
9,2015-01-22,2,2015-01-23
9,2015-01-22,7,2015-01-24
9,2015-01-22,6,2015-01-25
9,2015-01-22,4,2015-01-26
9,2015-01-22,7,2015-01-27
9,2015-01-22,8,2015-01-28
9,2015-01-22,10,2015-01-29
8,2015-01-26,8,2015-01-30
8,2015-01-26,8,2015-01-31
9,2015-03-01,5,2015-03-03
9,2015-03-01,6,2015-03-04
9,2015-03-01,6,2015-03-05
7,2015-02-22,19,2015-03-13
7,2015-02-22,25,2015-03-14
7,2015-02-22,26,2015-03-15
7,2015-02-22,25,2015-03-16
7,2015-02-22,27,2015-03-17
7,2015-02-22,27,2015-03-18
13,2014-12-18,26,2015-01-08
13,2014-12-18,23,2015-01-09
13,2014-12-18,25,2015-01-10
13,2014-12-18,26,2015-01-11
13,2014-12-18,27,2015-01-12
13,2014-12-18,28,2015-01-13
13,2014-12-18,32,2015-01-14
5,2015-07-05,5,2015-07-05
3,2015-04-28,18,2015-05-12
3,2015-04-28,19,2015-05-13
3,2015-04-28,17,2015-05-14
3,2015-04-28,22,2015-05-15
3,2015-04-28,23,2015-05-16
3,2015-04-28,21,2015-05-17
3,2015-05-18,9,2015-05-23
4,2015-05-21,1,2015-05-21
3,2015-05-30,15,2015-06-12
3,2015-05-30,16,2015-06-13
3,2015-05-30,20,2015-06-14
5,2015-06-20,4,2015-06-20
4,2015-03-22,8,2015-03-25
4,2015-03-22,7,2015-03-26
4,2015-03-22,6,2015-03-27
4,2015-03-22,6,2015-03-28
4,2015-03-22,11,2015-03-29
4,2015-03-22,9,2015-03-30
8,2015-02-08,4,2015-02-08
20,2015-02-17,4,2015-02-18
20,2015-02-17,4,2015-02-19
20,2015-02-17,5,2015-02-20
9,2015-02-16,2,2015-02-16
9,2015-02-16,2,2015-02-17
8,2015-03-02,5,2015-03-06
8,2015-03-02,8,2015-03-07
8,2015-03-02,8,2015-03-08
8,2015-03-02,9,2015-03-09
8,2015-03-02,10,2015-03-10
8,2015-03-02,10,2015-03-11
7,2015-12-25,2,2015-12-25
5,2015-10-21,4,2015-10-21
3,2015-10-26,1,2015-10-26
3,2015-10-26,5,2015-10-27
3,2015-10-01,4,2015-10-02
3,2015-10-01,5,2015-10-03
6,2015-10-06,6,2015-10-07
5,2015-10-05,31,2015-10-31
5,2015-10-05,30,2015-11-01
5,2015-10-05,32,2015-11-02
5,2015-10-05,30,2015-11-03
5,2015-10-05,32,2015-11-04
3,2015-10-13,2,2015-10-13
3,2015-10-13,4,2015-10-14
3,2015-10-13,3,2015-10-15
3,2015-10-13,6,2015-10-16
3,2015-10-13,9,2015-10-17
3,2015-10-13,7,2015-10-18
3,2015-10-13,11,2015-10-19
3,2015-10-13,11,2015-10-20
3,2015-08-18,0,2015-08-18
3,2015-08-18,1,2015-08-19
3,2015-08-18,3,2015-08-20
3,2015-08-18,7,2015-08-21
5,2015-10-22,0,2015-10-22
5,2015-10-22,2,2015-10-23
5,2015-10-22,6,2015-10-24
13,2014-12-20,13,2015-01-02
13,2014-12-20,16,2015-01-03
13,2014-12-20,16,2015-01-04
13,2014-12-21,20,2015-01-10
13,2014-12-21,22,2015-01-11
13,2014-12-21,24,2015-01-12
13,2014-12-21,24,2015-01-13
13,2014-12-21,25,2015-01-14
13,2014-12-21,28,2015-01-15
13,2014-12-21,27,2015-01-16
12,2015-01-18,21,2015-02-07
12,2015-01-18,22,2015-02-08
12,2015-01-18,24,2015-02-09
12,2015-01-18,23,2015-02-10
12,2015-01-18,28,2015-02-11
12,2015-01-18,28,2015-02-12
12,2015-01-18,31,2015-02-13
4,2015-05-02,8,2015-05-06
4,2015-05-12,3,2015-05-14
4,2015-05-12,6,2015-05-15
4,2015-05-13,4,2015-05-17
7,2015-03-25,30,2015-04-24
5,2015-04-06,5,2015-04-10
5,2015-04-06,9,2015-04-11
5,2015-04-06,9,2015-04-12
7,2015-04-11,21,2015-04-29
7,2015-04-11,20,2015-04-30
7,2015-04-11,23,2015-05-01
7,2015-04-11,21,2015-05-02
10,2015-03-02,15,2015-03-13
10,2015-03-02,14,2015-03-14
10,2015-03-02,17,2015-03-15
18,2015-02-14,15,2015-02-27
18,2015-02-14,17,2015-02-28
10,2015-01-17,13,2015-01-25
10,2015-01-17,10,2015-01-26
10,2015-01-17,10,2015-01-27
10,2015-01-17,14,2015-01-28
10,2015-01-17,16,2015-01-29
11,2015-01-15,8,2015-01-23
10,2015-01-23,1,2015-01-24
8,2015-01-26,4,2015-01-30
8,2015-01-26,6,2015-01-31
5,2015-07-09,30,2015-08-06
5,2015-07-09,31,2015-08-07
5,2015-07-09,34,2015-08-08
5,2015-07-09,32,2015-08-09
5,2015-07-09,32,2015-08-10
5,2015-07-09,36,2015-08-11
5,2015-07-09,34,2015-08-12
4,2015-07-14,3,2015-07-14
4,2015-07-14,5,2015-07-15
2,2015-05-23,4,2015-05-23
4,2015-05-20,2,2015-05-20
5,2015-06-04,16,2015-06-20
5,2015-06-04,21,2015-06-21
5,2015-06-04,22,2015-06-22
5,2015-06-04,23,2015-06-23
5,2015-06-04,21,2015-06-24
4,2015-06-07,4,2015-06-07
4,2015-06-07,3,2015-06-08
5,2015-11-25,6,2015-11-28
5,2015-11-25,8,2015-11-29
5,2015-11-25,9,2015-11-30
5,2015-11-25,8,2015-12-01
5,2015-11-25,8,2015-12-02
5,2015-11-25,12,2015-12-03
5,2015-11-25,9,2015-12-04
7,2015-12-08,17,2015-12-20
7,2015-12-08,15,2015-12-21
7,2015-12-08,18,2015-12-22
7,2015-12-08,15,2015-12-23
7,2015-12-08,20,2015-12-24
7,2015-12-08,21,2015-12-25
5,2015-10-22,3,2015-10-22
2,2015-10-27,5,2015-10-27
2,2015-10-27,5,2015-10-28
2,2015-10-27,2,2015-10-29
2,2015-10-27,5,2015-10-30
2,2015-10-27,8,2015-10-31
2,2015-10-27,6,2015-11-01
2,2015-10-27,7,2015-11-02
2,2015-10-27,7,2015-11-03
2,2015-10-27,8,2015-11-04
2,2015-10-27,10,2015-11-05
2,2015-10-27,14,2015-11-06
8,2015-10-07,5,2015-10-11
13,2014-12-17,10,2014-12-27
13,2014-12-17,11,2014-12-28
13,2014-12-17,14,2014-12-29
13,2014-12-17,14,2014-12-30
13,2014-12-17,16,2014-12-31
13,2014-12-17,19,2015-01-01
13,2014-12-17,21,2015-01-02
13,2014-12-17,21,2015-01-03
4,2015-05-02,11,2015-05-08
4,2015-05-02,12,2015-05-09
4,2015-05-02,10,2015-05-10
5,2015-04-23,5,2015-04-24
5,2015-04-23,5,2015-04-25
5,2015-04-23,11,2015-05-01
5,2015-04-23,12,2015-05-02
5,2015-04-23,12,2015-05-03
4,2015-05-12,1,2015-05-13
3,2015-05-14,14,2015-05-28
3,2015-05-14,16,2015-05-29
4,2015-05-05,14,2015-05-15
4,2015-05-05,11,2015-05-16
3,2015-05-26,4,2015-05-26
3,2015-05-26,5,2015-05-27
5,2015-04-01,2,2015-04-02
5,2015-04-01,5,2015-04-03
5,2015-04-01,6,2015-04-04
4,2015-04-15,5,2015-04-16
4,2015-04-15,2,2015-04-17
4,2015-04-15,7,2015-04-18
6,2015-03-21,2,2015-03-23
6,2015-03-21,6,2015-03-24
6,2015-03-21,4,2015-03-25
6,2015-03-21,10,2015-03-26
6,2015-03-21,11,2015-03-27
6,2015-03-21,11,2015-03-28
6,2015-03-21,12,2015-03-29
9,2015-02-16,6,2015-02-17
9,2015-02-16,2,2015-02-18
9,2015-02-16,7,2015-02-19
9,2015-02-16,26,2015-03-09
9,2015-02-16,27,2015-03-10
9,2015-02-16,26,2015-03-11
9,2015-02-16,24,2015-03-12
9,2015-03-01,5,2015-03-03
9,2015-03-01,3,2015-03-04
9,2015-03-01,9,2015-03-05
9,2015-01-23,7,2015-01-25
9,2015-01-23,5,2015-01-26
9,2015-01-23,7,2015-01-27
9,2015-01-23,6,2015-01-28
9,2015-01-23,6,2015-01-29
9,2015-01-23,11,2015-01-30
9,2015-01-23,11,2015-01-31
10,2015-01-21,4,2015-01-23
10,2015-01-21,7,2015-01-24
5,2015-09-07,4,2015-09-10
5,2015-09-07,7,2015-09-11
5,2015-09-07,8,2015-09-12
5,2015-08-19,5,2015-08-24
5,2015-08-19,10,2015-08-25
5,2015-08-19,10,2015-08-26
5,2015-08-17,0,2015-08-17
5,2015-08-17,2,2015-08-18
5,2015-08-17,5,2015-08-19
4,2015-09-05,5,2015-09-08
4,2015-09-05,8,2015-09-09
3,2015-07-10,6,2015-07-11
3,2015-07-10,3,2015-07-12
3,2015-07-10,3,2015-07-13
3,2015-07-10,5,2015-07-14
3,2015-07-10,8,2015-07-15
3,2015-07-10,6,2015-07-16
3,2015-07-10,11,2015-07-17
5,2015-05-24,0,2015-05-24
32,2015-12-23,10,2015-12-31
32,2015-12-23,9,2016-01-01
32,2015-12-23,13,2016-01-02
2,2015-11-11,9,2015-11-17
4,2015-11-24,1,2015-11-24
4,2015-11-24,1,2015-11-25
4,2015-11-24,5,2015-11-26
3,2015-11-30,4,2015-12-01
3,2015-11-30,4,2015-12-02
3,2015-11-30,8,2015-12-03
5,2015-12-03,11,2015-12-10
5,2015-12-03,13,2015-12-11
5,2015-12-03,14,2015-12-12
5,2015-12-03,10,2015-12-13
7,2015-12-08,15,2015-12-20
7,2015-12-08,17,2015-12-21
7,2015-12-08,17,2015-12-22
7,2015-12-08,17,2015-12-23
7,2015-12-08,17,2015-12-24
7,2015-12-08,18,2015-12-25
4,2015-11-08,4,2015-11-10
4,2015-11-08,4,2015-11-11
4,2015-11-08,8,2015-11-12
